Time,Channel A
(ns),(mV)

-500.40000588,1.18110200
-500.20000587,1.18110200
-500.00000587,1.57480300
-499.80000587,1.18110200
-499.60000587,1.18110200
-499.40000586,1.18110200
-499.20000586,1.18110200
-499.00000586,1.57480300
-498.80000585,1.57480300
-498.60000585,1.57480300
-498.40000585,1.96850400
-498.20000585,1.96850400
-498.00000584,1.96850400
-497.80000584,1.57480300
-497.60000584,1.57480300
-497.40000584,1.18110200
-497.20000583,1.57480300
-497.00000583,1.18110200
-496.80000583,1.57480300
-496.60000583,1.18110200
-496.40000582,0.78740150
-496.20000582,0.78740150
-496.00000582,0.78740150
-495.80000581,0.39370070
-495.60000581,0.39370070
-495.40000581,0.39370070
-495.20000581,0.39370070
-495.00000580,0.39370070
-494.80000580,0.00000000
-494.60000580,-0.39370070
-494.40000580,0.00000000
-494.20000579,0.00000000
-494.00000579,0.00000000
-493.80000579,0.39370070
-493.60000579,0.39370070
-493.40000578,0.39370070
-493.20000578,0.39370070
-493.00000578,0.39370070
-492.80000577,0.39370070
-492.60000577,0.78740150
-492.40000577,0.78740150
-492.20000577,1.18110200
-492.00000576,1.18110200
-491.80000576,1.18110200
-491.60000576,1.18110200
-491.40000576,0.78740150
-491.20000575,1.18110200
-491.00000575,1.18110200
-490.80000575,1.18110200
-490.60000575,1.18110200
-490.40000574,1.18110200
-490.20000574,1.57480300
-490.00000574,1.18110200
-489.80000573,1.18110200
-489.60000573,1.18110200
-489.40000573,1.18110200
-489.20000573,1.18110200
-489.00000572,1.18110200
-488.80000572,1.18110200
-488.60000572,0.78740150
-488.40000572,0.78740150
-488.20000571,0.39370070
-488.00000571,0.78740150
-487.80000571,0.78740150
-487.60000571,0.78740150
-487.40000570,0.78740150
-487.20000570,0.78740150
-487.00000570,0.39370070
-486.80000569,0.39370070
-486.60000569,0.00000000
-486.40000569,0.39370070
-486.20000569,0.39370070
-486.00000568,0.39370070
-485.80000568,0.39370070
-485.60000568,0.78740150
-485.40000568,0.39370070
-485.20000567,0.00000000
-485.00000567,-0.39370070
-484.80000567,0.00000000
-484.60000567,0.00000000
-484.40000566,0.00000000
-484.20000566,0.00000000
-484.00000566,0.39370070
-483.80000565,0.00000000
-483.60000565,0.00000000
-483.40000565,-0.39370070
-483.20000565,-0.39370070
-483.00000564,0.00000000
-482.80000564,0.00000000
-482.60000564,-0.39370070
-482.40000564,0.00000000
-482.20000563,0.00000000
-482.00000563,0.00000000
