Time,Channel A
(ns),(mV)

-500.40000588,0.39370070
-500.20000587,0.00000000
-500.00000587,0.00000000
-499.80000587,0.00000000
-499.60000587,-0.39370070
-499.40000586,-0.39370070
-499.20000586,-0.39370070
-499.00000586,-0.78740150
-498.80000585,-0.78740150
-498.60000585,-0.78740150
-498.40000585,-0.78740150
-498.20000585,-0.78740150
-498.00000584,-1.18110200
-497.80000584,-1.18110200
-497.60000584,-1.18110200
-497.40000584,-1.57480300
-497.20000583,-1.18110200
-497.00000583,-1.18110200
-496.80000583,-0.78740150
-496.60000583,-1.18110200
-496.40000582,-1.18110200
-496.20000582,-0.78740150
-496.00000582,-0.78740150
-495.80000581,-0.39370070
-495.60000581,-0.39370070
-495.40000581,0.00000000
-495.20000581,0.00000000
-495.00000580,0.00000000
-494.80000580,0.00000000
-494.60000580,0.39370070
-494.40000580,0.39370070
-494.20000579,0.78740150
-494.00000579,0.78740150
-493.80000579,1.18110200
-493.60000579,1.18110200
-493.40000578,1.57480300
-493.20000578,1.18110200
-493.00000578,1.18110200
-492.80000577,1.18110200
-492.60000577,1.57480300
-492.40000577,1.18110200
-492.20000577,1.57480300
-492.00000576,1.57480300
-491.80000576,1.96850400
-491.60000576,1.57480300
-491.40000576,1.96850400
-491.20000575,1.57480300
-491.00000575,1.57480300
-490.80000575,1.57480300
-490.60000575,1.57480300
-490.40000574,1.57480300
-490.20000574,1.57480300
-490.00000574,1.18110200
-489.80000573,1.18110200
-489.60000573,1.18110200
-489.40000573,0.78740150
-489.20000573,0.78740150
-489.00000572,0.78740150
-488.80000572,0.78740150
-488.60000572,0.78740150
-488.40000572,0.39370070
-488.20000571,0.39370070
-488.00000571,0.00000000
-487.80000571,0.00000000
-487.60000571,-0.39370070
-487.40000570,-0.78740150
-487.20000570,-0.78740150
-487.00000570,-0.78740150
-486.80000569,-0.78740150
-486.60000569,-0.78740150
-486.40000569,-1.18110200
-486.20000569,-1.57480300
-486.00000568,-1.18110200
-485.80000568,-0.78740150
-485.60000568,-0.39370070
-485.40000568,-0.39370070
-485.20000567,-0.78740150
-485.00000567,-0.39370070
-484.80000567,-0.39370070
-484.60000567,-0.39370070
-484.40000566,0.00000000
-484.20000566,0.78740150
-484.00000566,0.78740150
-483.80000565,1.18110200
-483.60000565,1.18110200
-483.40000565,1.18110200
-483.20000565,1.57480300
-483.00000564,1.57480300
-482.80000564,1.57480300
-482.60000564,1.57480300
-482.40000564,1.96850400
