Time,Channel A
(ns),(mV)

-500.40000588,1.18110200
-500.20000587,1.57480300
-500.00000587,1.96850400
-499.80000587,1.96850400
-499.60000587,1.96850400
-499.40000586,1.96850400
-499.20000586,1.96850400
-499.00000586,1.96850400
-498.80000585,1.96850400
-498.60000585,1.96850400
-498.40000585,1.96850400
-498.20000585,1.96850400
-498.00000584,1.96850400
-497.80000584,1.96850400
-497.60000584,1.96850400
-497.40000584,1.96850400
-497.20000583,1.57480300
-497.00000583,1.57480300
-496.80000583,1.96850400
-496.60000583,1.57480300
-496.40000582,1.18110200
-496.20000582,1.18110200
-496.00000582,1.57480300
-495.80000581,1.57480300
-495.60000581,1.57480300
-495.40000581,1.57480300
-495.20000581,1.96850400
-495.00000580,1.57480300
-494.80000580,1.57480300
-494.60000580,1.57480300
-494.40000580,1.96850400
-494.20000579,1.57480300
-494.00000579,1.18110200
-493.80000579,1.18110200
-493.60000579,1.18110200
-493.40000578,1.18110200
-493.20000578,1.18110200
-493.00000578,1.57480300
-492.80000577,1.57480300
-492.60000577,1.18110200
-492.40000577,1.18110200
-492.20000577,1.18110200
-492.00000576,0.78740150
-491.80000576,1.18110200
-491.60000576,1.18110200
-491.40000576,1.57480300
-491.20000575,1.57480300
-491.00000575,1.57480300
-490.80000575,1.18110200
-490.60000575,1.57480300
-490.40000574,1.57480300
-490.20000574,1.96850400
-490.00000574,1.57480300
-489.80000573,1.57480300
-489.60000573,1.57480300
-489.40000573,1.57480300
-489.20000573,1.96850400
-489.00000572,1.57480300
-488.80000572,1.96850400
-488.60000572,1.57480300
-488.40000572,1.57480300
-488.20000571,1.57480300
-488.00000571,1.57480300
-487.80000571,1.96850400
-487.60000571,1.57480300
-487.40000570,1.96850400
-487.20000570,1.96850400
-487.00000570,1.96850400
-486.80000569,1.96850400
-486.60000569,1.96850400
-486.40000569,1.96850400
-486.20000569,1.57480300
-486.00000568,1.96850400
-485.80000568,1.96850400
-485.60000568,1.96850400
-485.40000568,1.96850400
-485.20000567,1.96850400
-485.00000567,2.36220500
-484.80000567,2.36220500
-484.60000567,2.36220500
-484.40000566,1.96850400
-484.20000566,1.96850400
-484.00000566,1.57480300
-483.80000565,1.18110200
-483.60000565,1.18110200
-483.40000565,1.18110200
-483.20000565,0.78740150
-483.00000564,0.78740150
-482.80000564,0.39370070
-482.60000564,0.39370070
-482.40000564,0.00000000
-482.20000563,0.00000000
-482.00000563,0.00000000
-481.80000563,0.00000000
