Time,Channel A
(ns),(mV)

-500.40000588,0.39370070
-500.20000587,0.00000000
-500.00000587,0.00000000
-499.80000587,-0.39370070
-499.60000587,-0.39370070
-499.40000586,-0.78740150
-499.20000586,-0.39370070
-499.00000586,0.00000000
-498.80000585,0.00000000
-498.60000585,0.00000000
-498.40000585,0.00000000
-498.20000585,0.00000000
-498.00000584,0.00000000
-497.80000584,0.00000000
-497.60000584,0.39370070
-497.40000584,0.39370070
-497.20000583,0.39370070
-497.00000583,0.39370070
-496.80000583,0.39370070
-496.60000583,0.39370070
-496.40000582,0.39370070
-496.20000582,0.39370070
-496.00000582,0.39370070
-495.80000581,0.78740150
-495.60000581,0.78740150
-495.40000581,0.78740150
-495.20000581,1.18110200
-495.00000580,0.78740150
-494.80000580,0.78740150
-494.60000580,0.39370070
-494.40000580,0.78740150
-494.20000579,0.39370070
-494.00000579,0.78740150
-493.80000579,0.39370070
-493.60000579,0.39370070
-493.40000578,0.39370070
-493.20000578,0.39370070
-493.00000578,0.78740150
-492.80000577,0.39370070
-492.60000577,0.78740150
-492.40000577,0.78740150
-492.20000577,0.39370070
-492.00000576,0.78740150
-491.80000576,0.39370070
-491.60000576,0.78740150
-491.40000576,0.78740150
-491.20000575,0.78740150
-491.00000575,0.78740150
-490.80000575,0.39370070
-490.60000575,0.39370070
-490.40000574,0.39370070
-490.20000574,0.39370070
-490.00000574,0.39370070
-489.80000573,0.00000000
-489.60000573,0.39370070
-489.40000573,0.39370070
-489.20000573,0.39370070
-489.00000572,0.78740150
-488.80000572,0.78740150
-488.60000572,0.39370070
-488.40000572,0.39370070
-488.20000571,0.78740150
-488.00000571,0.78740150
-487.80000571,0.78740150
-487.60000571,0.39370070
-487.40000570,0.39370070
-487.20000570,0.39370070
-487.00000570,0.78740150
-486.80000569,0.39370070
-486.60000569,0.39370070
-486.40000569,0.00000000
-486.20000569,0.00000000
-486.00000568,0.00000000
-485.80000568,0.39370070
-485.60000568,0.39370070
-485.40000568,0.39370070
-485.20000567,0.39370070
-485.00000567,0.39370070
-484.80000567,0.39370070
-484.60000567,0.78740150
-484.40000566,0.78740150
-484.20000566,1.18110200
-484.00000566,1.18110200
-483.80000565,1.18110200
-483.60000565,1.57480300
-483.40000565,1.18110200
-483.20000565,1.57480300
-483.00000564,1.96850400
-482.80000564,1.96850400
-482.60000564,1.96850400
-482.40000564,1.96850400
-482.20000563,2.36220500
-482.00000563,2.36220500
