Time,Channel A
(ms),(mV)

0.00000000,-15.74803000
0.00100480,-19.68504000
0.00200960,-35.43307000
0.00301440,-31.49606000
0.00401920,-27.55905000
0.00502400,-27.55905000
0.00602880,-19.68504000
0.00703360,-31.49606000
0.00803840,-31.49606000
0.00904320,-31.49606000
0.01004800,-15.74803000
0.01105280,-19.68504000
0.01205760,-19.68504000
0.01306240,-15.74803000
0.01406720,-23.62205000
0.01507200,-19.68504000
0.01607680,-15.74803000
0.01708160,-19.68504000
0.01808640,-19.68504000
0.01909120,-15.74803000
0.02009600,-19.68504000
0.02110080,-19.68504000
0.02210560,-19.68504000
0.02311040,-27.55905000
0.02411520,-23.62205000
0.02512000,-23.62205000
0.02612480,-19.68504000
0.02712960,-19.68504000
0.02813440,-35.43307000
0.02913920,-27.55905000
0.03014400,-23.62205000
0.03114880,-27.55905000
0.03215360,-23.62205000
0.03315840,-23.62205000
0.03416320,-19.68504000
0.03516800,-15.74803000
0.03617280,-15.74803000
0.03717760,-19.68504000
0.03818240,-19.68504000
0.03918720,-19.68504000
0.04019200,-31.49606000
0.04119680,-27.55905000
0.04220160,-31.49606000
0.04320640,-19.68504000
0.04421120,-19.68504000
0.04521600,-27.55905000
0.04622080,-19.68504000
0.04722560,-19.68504000
0.04823040,-19.68504000
0.04923520,-19.68504000
0.05024000,-19.68504000
0.05124480,-19.68504000
0.05224960,-15.74803000
0.05325440,-19.68504000
0.05425920,-15.74803000
0.05526400,-15.74803000
0.05626880,-31.49606000
0.05727360,-35.43307000
0.05827840,-39.37008000
0.05928320,-27.55905000
0.06028800,-27.55905000
0.06129280,-19.68504000
0.06229760,-19.68504000
0.06330240,-15.74803000
0.06430720,-19.68504000
0.06531200,-19.68504000
0.06631680,-7.87401500
0.06732160,-11.81102000
0.06832640,-15.74803000
0.06933120,-15.74803000
0.07033600,-15.74803000
0.07134080,-19.68504000
0.07234560,-27.55905000
0.07335040,-27.55905000
0.07435520,-27.55905000
0.07536000,-19.68504000
0.07636480,-15.74803000
0.07736960,-15.74803000
